Avg table,,,,,,,,
intervention - task,mental,physical,temporal,performance,effort,frustration,,Avg of Avgs
None - Identify Object,5.8,5.4,4.2,3.1,6.4,4.3,,4.87
None - Verify Object,9.5,7.2,6.7,4.1,11.5,7.9,,7.82
Reference Axis - Identify Object,7.1,7,5.6,3.2,7.2,6.1,,6.03
Reference Axis - Verify Object,8.8,8,6.8,4,9.9,8.5,,7.67
Click Accuracy - Identify Object,5.67,3.89,5.33,1.56,5.33,2.89,,4.11
Click Accuracy - Verify Object,10.5,6.9,8.3,3.5,8.6,6,,7.3
Rendering Order - Identify Object,6.4,4.9,6,3,6.6,5.3,,5.37
Rendering Order - Verify Object,8.1,6.6,7.7,5.3,10,8.2,,7.65
Hover Speed - Identify Object,5.89,5,6.11,1,5.33,3.22,,4.43
Hover Speed - Verify Object,6.56,5,6.78,1.33,8.67,5.33,,5.61
All Conditions - Identify Object,4.56,4.22,4.89,1,5.22,2.78,,3.78
All Conditions - Verify Object,6.22,5.11,5.11,2.56,7.44,5.33,,5.3
,,,,,,,,
min,4.56,3.89,4.2,1,5.22,2.78,,3.78
max,10.5,8,8.3,5.3,11.5,8.5,,7.82
